COD_ABI;BANCA
08234;CASSA RAIFFEISEN DI SCENA SC RAIFFEISENK
08238;CASSA RAIFFEISEN VAL GARDENA SOCIETA' CO
08239;CASSA RAIFFEISEN DI SENALES SCRLRAIFFEIS
08244;CASSA RAIFFEISEN SILANDRO SCRL  RAIFFEIS
08245;CASSA RURALE DI SOPRAMONTE FUS CASSA RUR
08248;CASSA RURALE VAL RENDENA
08249;CASSA RAIFFEISEN STILVES-TRENS  SCRL - R
08251;CASSA RURALE DI STREMB FUS C.R VAL RENDE
08255;CASSA RAIFFEISEN OLTRADIGE SCRL RAIFFEIS
08258;CREDITO COOPERATIVO CENTRO CALABRIA SOC.
08263;CASSA RURALE D'ANAUNIA BANCA DI CREDITO
08264;CASSA RURALE DI TASSULLO E NANNO
08269;CASSA RAIFFEISEN DI TERLANO SOC.COOP. A
08273;CASSA RAIFFEISEN DI TESIMO SCRL
08278;CASSA RURALE DI TIROLO
08279;CASSA RURALE VALLI DI PRIMIERO  E VANOI
08282;CASSA RURALE DI TUENNO - VAL DI NON B.C.
08285;CASSA RAIFFEISEN TURES - AURINA S.COOP.
08295;CASSA RAIFFEISEN DI VANDOIES SOC. COOP.
08296;CASSA RURALE DI VERMIGLIO
08302;CASSA RAIFFEISEN DI VILLABASSA  SC - RAI
08304;CASSA RURALE DI TRENTO BANCA DI CREDITO
08305;CASSA RURALE ALTA VALLAGARINA
08307;CASSA RURALE DELLA VALLE ISARCO
08309;BASSANO BANCA - CREDITO COOPERATIVO
08311;BENACO BCC COSTERMANO S.C. FUS  BCC DELL
08315;VALPOLICELLA BENACO BANCA CREDITO COOPER
08316;CASSA RURALE PINETANA FORNACE E SEREGNAN
08322;BANCA VERONESE - CREDITO COOPERATIVO DI
08324;BANCA CENTROPADANA - CREDITO COOPERATIVO
08325;BANCA DEL MUGELLO CREDITO COOPERATIVO S.
08327;BANCA DI CREDITO COOPERATIVO DI ROMA SCR
08329;BANCA DI CRED. COOP. DELL'ALTA  BRIANZA
08330;BANCA DI CREDITO COOPERATIVO DELLA BASSA
08331;BANCA DI CREDITO COOPERATIVO DELL'ALTO R
08332;BANCA PICENA TRUENTINA- CREDITO COOPERAT
08338;BANCA DI CREDITO COOPERATIVO DI ALBEROBE
08340;CASSA PADANA BANCA DI CREDITO COOPERATIV
08341;BANCA DI CREDITO COOPERATIVO DI ALTOFONT
08342;BANCA DI CREDITO COOPERATIVO DI AQUARA S
08344;BANCA DI CREDITO COOPERATIVO DI ANAGNI
08345;BANCA DI ANGHIARI E STIA CREDITO COOPERA
08350;EMIL BANCA CREDITO COOPERATIVO  BOLOGNA
08351;BANCASCIANO CREDITO COOPERATIVO SCRL
08354;BANCA DI CREDITO COOPERATIVO DI AVETRANA
08356;BANCA DI CREDITO COOPERATIVO PORDENONESE
08358;BANCA DI PESCIA - CREDITO COOPERATIVO SO
08362;BANCA DI CREDITO COOPERATIVO DI ARBOREA
08365;B.C.C. DELL'ALTO TIRRENO DELLA  CALABRIA
08374;BANCA DI CREDITO COOPERATIVO DI BARLASSI
08375;BANCA DI CREDITO COOPERATIVO DI BASILIAN
08378;CRA-BCC DI BATTIPAGLIA E MONTECORVINO RO
08379;BCC DI BEDIZZOLE - TURANO VALVE FUS. ABI
08381;BANCA DI CREDIT0 COOPERATIVO DI BELLEGRA
08382;BANCA DI CREDITO COOPERATIVO DI BENE VAG
08386;C.R.A. DI BINASCO - CREDITO COOPERATIVO
08393;C.R.A. DI BORGO SAN GIACOMO SCRLCREDITO
08396;B.C.C. ALTA VALLE TROMPIA SCRL  FUS. CAS
08397;C.R.A. DI BOVES - BANCA DI CREDITO COOPE
08399;CASSA RURALE ED ARTIGIANA DI BRENDOLA -
08404;BANCA DI CREDITO COOPERATIVO DI BUSTO GA
08406;BANCA DI CREDITO COOPERATIVO DI BARBARAN
08407;BANCA DI CREDITO COOPERATIVO DEL VENEZIA
08409;CASSA RURALE ED ARTIGIANA DI BUONABITACO
08414;B.MOLISANA DI C.C. - S.C.R.L. FUS. BCC D
08416;BANCA DI VERONA CREDITO COOPERATIVO CADI
08422;BANCA DI CREDITO COOPERATIVO DI VERGATO
08425;BANCA DI CREDITO COOPERATIVO DI CAMBIANO
08428;BANCA DI CREDITO COOPERATIVO DI CAMPIGLI
08429;BANCA PADOVANA CREDITO COOPERATIVO S.C F
08430;CASSA RURALE ED ARTIGIANA DI CANTU' B.C.
08431;BANCA DI CREDITO COOPERATIVO DI CAPACCIO
08434;BANCA DI CREDITO COOPERATIVO ABRUZZESE -
08436;BANCA DI CAPRANICA CREDITO COOPERATIVO S
08437;BANCA DI CREDITO COOPERATIVO DELBASSO SE
08439;BANCA DI CARAGLIO, DEL CUNEESE  E DELLA
08440;BANCA DI CREDITO COOPERATIVO DI CARATE B
08441;BANCA DI CREDITO COOPERATIVO DI CARAVAGG
08445;BANCA DI CREDITO COOPERATIVO DI TERRA D'
08446;CREDITO COOPERATIVO AREA PRATESE S.C.R.L
08450;BANCA ALPI MARITTIME CREDITO COOPERATIVO
08452;BCC ANNIA ESINE SOCIETA' COOPERATIVA
08453;BANCA DI CREDITO COOPERATIVO DI CARUGATE
08454;BANCA CREMONESE - CREDITO COOPERATIVO SC
08456;BANCA DI CREDITO COOPERATIVO DI CASAVECC
08457;BANCA DI CREDITO COOPERATIVO DI CASCIA D
08458;BANCA DI CREDITO COOPERATIVO DI CASCINA
08460;BANCA DI CREDITO COOPERATIVO DI CASSANO
08461;BANCA DI CREDITO COOPERATIVO DI CASTAGNE
08462;BANCA DI CREDITO COOPERATIVO DELLA ROMAG
08466;BANCA DI CREDITO COOPERATIVO DI CASTEL G
08469;CASSA RURALE ED ARTIGIANA DI CASTELLANA
08472;BANCA DI CREDITO COOPERATIVO DI CASTENAS
08473;B.C.C. DI CASTIGLIONE MESSERAIMONDO E PI
08474;BANCA DI CREDITO COOPERATIVO PICENA S.C.
08481;CEREABANCA 1897 - CREDITO COOPERATIVO SO
08485;BANCA DI CHIANCIANO TERME CREDITO COOPER
08486;BANCA DI CREDITO COOPERATIVO DI PISTOIA
08487;BANCA DI CREDITO COOPERATIVO DI CHERASCO
08489;BANCA VALDICHIANA CREDITO COOPERATIVO TO
08491;BANCA DI CREDITO COOPERATIVO DI CIVITANO
08492;BANCA DI CREDITO COOPERATIVO DI CITTANOV
08499;BANCA DI CRED. COOP. OROBICA DI BARIANO
08503;BANCA DI CREDITO COOPERATIVO DI CONVERSA
08508;BANCA DI CREDITO COOPERATIVO DI CORINDAL
08509;BANCA CENTRO EMILIA CREDITO COOPERATIVO
08511;C.R.A. DI CORTINA D'AMPEZZO E DELLE DOLO
08514;BANCA DI CREDITO COOPERATIVO DELL'OGLIO
08515;BANCA DELLA VALSASSINA CREDITO  COOPERAT
08519;BANCA DI CREDITO COOPERATIVO DI FANO SCR
08530;BANCA D'ALBA CREDITO COOPERATIVO SC
08532;BANCA DI CREDITO COOPERATIVO DI DOBERDO'
08537;CREDITO COOPERATIVO C.R.A. DI ERCHIE (BR
08540;BANCA DI SAN MARINO S.P.A.
08542;CREDITO COOPERATIVO RAVENNATE E IMOLESE
08549;BANCA DI FILOTTRANO - CREDITO COOPERATIV
08550;BANCA DI CREDITO COOPERATIVO DI FIUGGI S
08551;BANCA DI CREDITO COOPERATIVO DI FIUMICEL
08553;BANCA DI CREDITO COOPERATIVO DI FLUMERI
08554;BANCA DI CREDITO COOPERATIVO DI GAUDIANO
08556;BANCA DI FORLI' - CREDITO COOPERATIVO SC
08557;BANCA DI CREDITO COOPERATIVO DI FORLIMPO
08561;BANCA DI SALERNO CREDITO COOPERATIVO S.C
08562;BANCA DI PISA E FORNACETTE CREDITO COOPE
08565;BANCA DI CREDITO COOPERATIVO DI BUCCINO
08572;BANCA DI CREDITO COOPERATVO DI  GAMBATES
08574;CREDITO COOP ROMAGNOLO - BCC DI CESENA E
08575;BANCA DI CREDITO COOPERATIVO DELL'AGRO B
08578;BANCA DI CREDITO COOPERATIVO DI GRADARA
08586;BCCGHISALBA (BERGAMO) SOC. COO  FUS. ABI
08587;B.C.C. VALDOSTANA COOPERATIVE DE CREDIT
08590;BANCA DEL CENTROVENETO - CREDITO COOPERA
08591;BANCA DI CREDITO COOPERATIVO DI IMPRUNET
08592;BANCA DI CREDITO COOPERATIVO DI INZAGO F
08595;LA BCC DEL CROTONESE CREDITO COOPERATIVO
08596;BANCA DI CREDITO COOPERATIVO SAN MARCO S
08597;BANCA DI CREDITO COOPERATIVO DI LAURENZA
08601;BANCA DI CREDITO COOPERATIVO VALLE DEL T
08603;BANCA DI CREDITO COOPERATIVO DI LEVERANO
08606;BANCA DI CREDITO COOPERATIVO DI CANOSA -
08607;BANCA DI CREDITO COOPERATIVO DI LOCOROTO
08610;BANCA DEI COLLI EUGANEI CREDITO COOPERAT
08616;BANCA ADIGE PO CREDITO COOPERATIVO LUSIA
08618;BANCA DI CREDITO COOPERATIVO DI LEZZENO
08619;B.C.C. DI LESMO
08622;CREDITO COOPERATIVO - C.R.A. DI LUCINICO
08623;BANCO COOPERATIVO EMILIANO-CREDITO COOPE
08630;BANCA DI MANTIGNANA - CREDITO COOPERATIV
08631;BANCA DI CREDITO COOPERATIVO DI MANZANO
08635;CASSA RURALE ED ARTIGIANA MARIA SS. IMMA
08636;BANCA DELLA MAREMMA - CREDITO COOPERATIV
08637;BANCA DI CREDITO COOPERATIVO DEL FRIULI
08639;BANCA DI CREDITO COOPERATIVO DI MASIANO
08657;BANCA SELLA SUD ARDITI GALATI S PA
08661;BCC IRPINA S.C. A R.L. FUS. BCC DI FLUME
08662;B.C.C. DI MONTECORVINO ROVELLA  S.C.R.L.
08669;BANCA ALTO VICENTINO CREDITO COOPERATIVO
08670;BANCA DI CREDITO COOPERATIVO DI MONTEPUL
08672;BANCA DI CREDITO COOPERATIVO DI MONTEREN
08673;CHIANTIBANCA - CREDITO COOPERATIVO - S.C
08676;BANCA DI CREDITO COOPERATIVO COLLI MOREN
08679;BANCA DI CREDITO COOPERATIVO DI MOZZANIC
08682;BANCA DI CREDITO COOPERATIVO ALTO CASERT
08688;BANCA DI CREDITO COOPERATIVO DI MARINA D
08689;BANCA DI CREDITO COOPERATIVO DI MARCON -
08692;BANCA DI CREDITO COOPERATIVO DI BRESCIA
08693;BANCA DI CREDITO COOPERATIVO DI NETTUNO
08700;BANCA DI CREDITO COOPERATIVO DEL METAURO
08703;BANCA DI CREDITO COOPERATIVO EUGANEA DI
08704;BANCA DI CREDITO COOPERATIVO DI OSTRA E
08705;BANCA DI CREDITO COOPERATIVO DI OSTRA VE
08706;BANCA DI CREDITO COOPERATIVO DI OSTUNI S
08708;BANCA DI CREDITO COOPERATIVO DI OPPIDO L
08712;"B.C.C. SEN. PIETRO GRAMMATICO"" DI PACEC"""
08713;BANCA DI CREDITO COOPERATIVO DI PACHINO
08715;BANCA DI UDINE CREDITO COOPERATIVO S.C.P
08716;BANCA DI CREDITO COOPERATIVO DI PALESTRI
08717;CREDITO COOPERATIVO - C.R.A. DI PALIANO
08720;BANCA DI CREDITO COOPERATIVO DI PEDEMONT
08726;BANCA VERSILIA LUNIGIANA E GARFAGNANA -
08728;BANCA DI CREDITO COOPERATIVO DI PIOVE DI
08730;BANCA DI CREDITO COOPERATIVO DI PITIGLIA
08731;BANCA DI CREDITO COOPERATIVO DI PERGOLA
08732;B.C.C. VICENTINO - POJANA MAGGIORE (VI)
08735;BANCA DEL TERRITORIO LOMBARDO CREDITO CO
08736;BANCA DI CREDITO COOPERATIVO DI PONTASSI
08738;CASSA RURALE ED ARTIGIANA DELL'AGRO PONT
08743;BANCA DI CREDITO COOPERATIVO DEL VELINO
08744;BANCA DI CREDITO COOPERATIVO DI DOVERA E
08745;"B.C.C. VALLE SERIANA"" SCRL"""
08747;BANCA DI CREDITO COOPERATIVO DI PRATOLA
08749;CENTROMARCA BANCA CREDITO COOPERATIVO DI
08753;BANCA DI CREDITO COOPERATIVO DI PIANFEI
08765;B.C.C. DI RECANATI E COLMURANO  (MC) SCR
08769;BANCA DI CREDITO COOPERATIVO DI RIPATRAN
08770;CASSA RURALE ED ARTIGIANA DI RIVAROLO MA
08771;CREDITO COOPERATIVO DELL'ADDA E DEL CREM
08772;CASSA RURALE ED ARTIGIANA DI ROANA - CRE
08777;BANCA DI CREDITO COOPERATIVO DEL TUSCOLO
08778;BANCA DI CREDITO COOPERATIVO DI RONCIGLI
08784;BANCA DI CREDITO COOPERATIVO DI MONTE PR
08787;BANCA DI CREDITO COOPERATIVO DI RIANO SC
08792;BANCA DI CREDITO COOPERATIVO DI SALA DI
08794;B.C.C. LAUDENSE - LODI
08796;BANCA DI CREDITO COOPERATIVO DI SAMBUCA
08800;BANCA DI CREDITO COOPERATIVO DI SAN BIAG
08805;FRIULOVEST BANCA-CREDITO COOPERATIVO-SOC
08807;BANCA SAN GIORGIO QUINTO VALLE  AGNO CR.
08810;BANCA DI CREDITO COOPERATIVO DI SAN GIOV
08811;BANCA CREDITO COOPERATIVO DI S. GIOVANNI
08812;BANCA DI FORMELLO E TREVIGNANO  ROMANO D
08817;BANCA DI CREDITO COOPERATIVO DI SAN MARZ
08824;BANCA DI CREDITO COOPERATIVO DI SERINO (
08826;BANCA DI PESARO CREDITO COOPERATIVO SOC.
08829;VIBANCA - BANCA DI CREDITO COOP DI SAN P
08833;BANCA DI CREDITO COOPERATIVO DI CASALGRA
08839;BANCA SUASA - CREDITO COOPERATIVO SOC. C
08843;BANCA DI CREDITO COOPERATIVO DI SANT'ELE
08844;BANCA DI CREDITO COOPERATIVO DI SANTERAM
08850;BANCA DI CREDITO COOPERATIVO DI SARSINA
08851;BANCA DI SATURNIA E COSTA D'ARGENTO CRED
08852;ROMAGNA EST BANCA DI CREDITO COOPERATIVO
08855;BANCA DI CREDITO COOPERATIVO DI SCAFATI
08865;BANCA DI CREDITO COOPERATIVO DI SESTO SA
08866;BANCA DI CREDITO COOPERATIVO DI SIGNA SC
08867;BANCA DI CREDITO COOPERATIVO DELLA SILA
08869;BANCA DI CREDITO COOPERATIVO DI BERGAMO
08871;BANCA DI CREDITO COOPERATIVO DI SPELLO E
08873;BANCA DI CREDITO COOPERATIVO DI SPINAZZO
08877;BANCA DI CREDITO COOPERATIVO DI STARANZA
08883;BANCA DI BOLOGNA CREDITO  COOPERATIVO SC
08885;BANCA CRAS - CR.COOP. CHIANCIANOTERME-CO
08887;CREDITO COOPERATIVO DI SAN CALOGERO E MA
08888;BCC SAN GIORGIO LUCANO E NOVA S IRI FUS
08892;BANCA DEI DUE MARI DI CALABRIA
08894;BANCA DI CARNIA E GEMONESE CREDITO COOPE
08899;BANCA DI CREDITO COOPERATIVO DI TREVIGLI
08901;BANCA DI CREDITO COOPERATIVO DI TRIUGGIO
08903;BANCA DI CREDITO COOPERATIVO DI TURRIACO
08904;BANCA DI CREDITO COOPERATIVO DELLE PREAL
08907;BANCA DI CREDITO COOPERATIVO DI SCANDALE
08910;CASSA RURALE ED ARTIGIANA DI VESTENANOVA
08913;B.C.C. DELLA VALLE DEL FITALIA  -LONGI S
08916;BANCA DI ANCONA - CREDITO COOPERATIVO S.
08917;CREDITO TREVIGIANO - BANCA DI CREDITO CO
08919;BANCA DI CREDITO COOPERATIVO DI VEROLAVE
08922;BANCA DI CREDITO COOPERATIVO DI VIGNOLE
08927;CENTROMARCA BCC DI TREVISO SOCIETA' COOP
08928;BANCA DI CREDITO COOPERATIVO DEL CARSO S
08931;BANCA DI VITERBO CREDITO COOPERATIVO S.C
08940;BANCA DI CREDITO COOPERATIVO BERGAMASCA
08941;"BCCSAN MARCO""DI CALATABIANO  FUS BCC DI"""
08946;BANCA DON RIZZO - CREDITO COOPERATIVO DE
08947;BANCA DI CREDITO COOPERATIVO DONSTELLA D
08951;B.C.C. GIUSEPPE TONIOLO
08952;"BANCA DI CREDITO COOPERATIVO G. TONIOLO"""
08953;"BANCA DI CREDITO COOPERATIVO LACONCORDI"""
08954;BCC LA RISCOSSA DI REGALBUTO
08958;BANCA DI CREDITO COOPERATIVO MUTUO SOCCO
08964;CASSA RURALE ED ARTIGIANA SAN BARNABA DI
08965;BANCA S.BIAGIO DEL VENETO ORIENTALE DI C
08968;B.C.C. SANGRO TEATINA SCRL
08969;BANCA S. FRANCESCO - CREDITO COOPERATIVO
08970;RIMINIBANCA CREDITO COOPERATIVO RIMINI E
08973;"C.R.A. SAN GIUSEPPE"" CREDITO COOPERATIV"""
08975;"B.C.C. SAN GIUSEPPE"" DI MUSSOMELI"""
08976;BANCA DI CREDITO COOPERATIVO SAN GIUSEPP
08979;BANCA DI C.C.S.MICHELE DI CALTANISETTA E
08982;BANCA ADRIA CREDITO COOPERATIVO DEL DELT
08985;B.C.C. DEL NISSENO DI SOMMATINO E SERRAD
08986;ROVIGOBANCA CREDITO COOPERATIVO
08987;"C.R.A. SAN VINCENZO DE' PAOLI"" DI CASAG"""
08988;BANCA DI CREDITO COOPERATIVO DEGLI ULIVI
08990;B.C.C. SANTO STEFANO MARTELLAGO SCRL
08995;RIMINIBANCA CREDITO COOPERATIVO DI RIMIN
08997;BCC DI S.MARCO DEI CAVOTI E DEL SANNIO C
08998;CASSA RAIFFEISEN DELLA VAL PASSIRIA SOC.
10309;MONTE PASCHI FONDIARIO E OPERE  PUBBLICH
10312;CREDITO FONDIARIO S.P.A.
10327;BNL - SEZ. CRED. CINEMATOGRAFICOE TEATRA
10329;BIMER SPA-BANCA EMILIA ROMAGNA  FINANZ.
10602;CREDIOP - CREDITO PER LE IMPRESEE LE OPE
10630;ISTITUTO PER IL CREDITO SPORTIVO
10631;MEDIOBANCA BANCA DI CREDITO FINANZIARIO
10632;EFIBANCA S.P.A. FUS BANCO POPOL ARE SOCI
10633;CENTROBANCA - BANCA CENTRALE DI CREDITO
10636;UNICREDIT BANCA MEDIOCREDITO SPA
10637;MEDIOCREDITO ITALIANO SPA
10638;MEDIOCREDITO TRENTINO ALTO ADIGESPA
10639;DOBANK S.P.A
10640;MEDIOCREDITO DEL FRIULI - VENEZIA GIULIA
10643;MPS CAPITAL SERVICES BANCA PER  LE IMPRE
10647;ISTITUTO PER LO SVILUPPO ECONOMICO DELL'
10680;MEDIOCREDITO CENTRALE SPA
10681;ARTIGIANCASSA S.P.A.
10685;GE CAPITAL INTERBANCA S.P.A.
19275;COMPASS BANCA S.P.A.
32532;QUI! FINANCIAL SERVICES S.P.A.
33604;PI4PAY S.R.L.
36000;CARTALIS IMEL SPA
36001;MOBILMAT IMELSPA (ENTE CREDITIZ IO)
36017;PAY TIPPER S.P.A
36018;CABEL PER I PAGAMENTI I.P. SPA
36024;CITYPOSTE PAYMENT S.P.A.
36033;MONEYNET SPA
36042;INFOCAMERE SOC. CONSORTILE DI INFORMATIC
36044;BMCE EUROSERVICE S.A.
