COD_ABI;BANCA
03296;BANCA FIDEURAM
03298;DEUTSCHE BANK AG
03300;CREDITO DEL LAZIO S.P.A FUS CRE DITO ART
03301;C.R. DI MILANO E DELLA LOMBARDI S.P.A FU
03306;PRADER BANK SPA
03307;SOCIETE' GENERALE SECURITIES SERVICE
03309;BANCA INFRASTRUTTURE INNOVAZION E SVILUP
03310;BANCA ETICA ADRIATICA S.P.A. FUS BANCA C
03311;BANCA SELLA HOLDING S.P.A.
03312;BANCA MERCANTILE ITALIANA
03313;BANCA IMPRESA LAZIO SPA
03317;BANCA DELLA PROVINCIA DI MACERATA SPA
03318;BANCA DI CREDITO E RISP.DI ROMAGNA SPA F
03321;RBC INVESTOR SERVICE BANK S.A.
03323;GBM BANCA S.P.A.
03328;BANCA NAZIONALE DELL'AGRICOLTURA
03329;KARNTNER BANK SPARKASSE FUS. CR DI BOLZA
03330;BANCA INTERREGIONALE
03331;CENTRO LEASING BANCA S.P.A
03332;BANCA PASSADORE & C.
03336;CREDITO BERGAMASCO S.P.A. FUS BANCO POPO
03337;SUMITOMO MITSUI BANKING CORPOR. EUROPE L
03338;SERFINA BANCA S.P.A FUS BANCA POPOLARE D
03339;ING. REAL ESTATE FINANCE (ESPANA)EFC SA
03343;PICTET & CIE (EUROPE) S.A.
03346;MIZUHO BANK, LTD
03349;CNH INDUSTRIAL FINANCIAL SERVICES S.A.
03351;THE BANK OF NEW YORK
03353;BANCA DEL SUD S.P.A.
03357;BANCA A.G.C.I
03358;CLAAS FINANCIAL SERVICE
03359;BANCA PROSSIMA S.P.A.
03362;DE LAGE LANDEN INTERNATIONAL B V
03365;BANCO DELLE TRE VENEZIE
03367;BANCA SANTA GIULIA SPA
03369;NOMURA BANK INTERNATIONAL PLC ITALIAN BA
03370;JP MORGAN INT. BANK LIMITED
03371;AS PRIVAT BANK
03374;ALTO ADIGE BANCA SPA
03376;BANCA SAN PAOLO DI BRESCIA
03378;SOCIETE' GENERALE MUTUI ITALIA  SPA
03380;BANK OF AMERICA N.T. & S.A.
03381;BANK SEPAH
03385;BANCA ITB S.P.A
03386;JCB FINANCE
03387;BANQUE CHAABI DU MAROC B.C.D.M.
03388;BANCA STABIESE
03389;BANCO SANTANDER S.A.
03393;BANCA SVILUPPO ECONOMICO SPA
03394;MAINFIRST BANK AKTIENGESELL SCHAFT
03395;BANCA INTERPROVINCIALE SPA
03398;BANCA SIMETICA SPA
03399;EXTRABANCA SPA ITALIAN BRANCH
03400;BANCA MONTE DEI PASCHI DI SIENA SPA / EX
03401;STANDARD CHARTERED BANK
03402;WEBANK SPA
03403;IMPREBANCA SPA
03406;BANK OF THE PHILIPPINE ISLANDS  (EUROPE)
03407;LA COMPAGNIE FINANCIERE EDMOND  DE ROTHS
03411;INDUSTRIAL AND COMMERCIAL BANK  OF CHINA
03415;ATTIJARIWAFA BANK EUROPE
03417;BANCA PRIVATA LEASING S.P.A.
03419;J.P. MORGAN SECURITIES PLC
03421;CARREFOUR BANQUE
03422;AKF BANK GMBH & CO KG. - SUCCURSALE ITAL
03423;BINCKBANK NV
03424;BANCO DI CHIAVARI E DELLA RIVIERA LIGURE
03425;BANCO DI CREDITO P. AZZOAGLIO
03426;BANCA DI CREDITO PELORITANO S.P
03427;UNION BANCAIRE PRIVEE (LUXENBOU
03428;BANCO DI CREDITO SICILIANO
03430;CREDITO LOMBARDO VENETO S.P.A.
03431;BANCA CARIGE ITALIA S.P.A.
03432;CREDIT AGRICOLE - CORPORATE AND INVESTME
03433;BSI LUXEMBOURG SA
03434;BMW BANK GMBH
03435;BANCA FARMAFACTORING SPA
03437;BANCA TRANSILVANIA S.A.
03438;CACEIS BANK LUXEMBOURG
03439;STATE STREET BANK INTERNATIONAL GMBH - S
03440;BANCO DI DESIO E DELLA BRIANZA
03441;BANCA SVILUPPO TUSCIA S.P.A.
03442;BANCA WIDIBA SPA
03443;CREDIT AGRICOLE LUXEMBOURG
03445;FCA BANK S.P.A.
03456;BANCAPULIA S.P.A. FUSIONE BANCA MERIDIAN
03465;BANCO DO BRASIL AG SUCCURSALE IN ITALIA
03475;ING BANK N.V.
03479;BNP PARIBAS SECURITIES SERVICES SUCCURSA
03482;RABOBANK NEDERALND - COOPERATIEVE CENTRA
03487;THE BANK OF TOKYO-MITSUBISHI UFJ LTD - M
03488;CASSA LOMBARDA
03493;CASSA CENTRALE RAIFFEISEN DELL'ALTO ADIG
03494;JPMORGAN CHASE BANK
03500;BANCO DI BRESCIA S.P.A.
03512;CREDITO ARTIGIANO FUS CREDITO VALTELLINE
03530;CREDITO INDUSTRIALE SAMMARINESE - SERRAV
03556;ROLO BANCA 1473 S.P.A.
03561;ABC INTERNATIONAL BANK PLC MILANO
03566;CITIBANK N.A.
03567;MORGAN GUARANTY TRUST COMPANY OFNEW YORK
03576;BANCO BILBAO VIZCAYA ARGENTARIA S.A.
03583;BANQUE WORMS
03589;ALLIANZ BANK FINANCIAL ADVISORS
03593;SOCIETE' GENERALE
03595;FORTIS BANK SA - NV
03598;U.B.A.E. (ARAB ITALIAN BANK)
03599;CASSA CENTRALE BANCA CREDITO COOPERATIVO
05000;ISTITUTO CENTRALE DELLE BANCHE POPOLARI
05010;CREDITO PIEMONTESE SPA FUS. CREDITO VALT
05013;BANCA VALORI S.P.A
05015;BANCA POPOLARE PROVINCIALE LECCHESE S.C.
05018;BANCA POPOLARE ETICA
05023;BANCA REGIONALE DI SVILUPPO SPA
05024;BANCA AGRICOLA MANTOVANA S.P.A. FUS MONT
05025;BANCA FARNESE S.C.P.A. A R.L.
05026;BANCHE POPOLARI UNITE S.C.R.L.
05029;IGEA BANCA S.P.A
05030;CREDITO SALERNITANO - BANCA POP. DELLA P
05033;BANCA POPOLARE DELLE PROVINCIE  MOLISANE
05034;BANCO POPOLARE SOCIETA' COOPERATIVA
05035;VENETO BANCA S.P.A.
05036;BANCA AGRICOLA POPOLARE DI RAGUSA S.C.R.
05037;BANCA POPOLARE DELLE PROVINCIE  CALABRE
05038;BANCA POPOLARE DEL MEDITERRANEO
05040;BANCA ANTONVENETA FUS GRUPPO MPS-UFF POR
05044;BANCA CATTOLICA SPA
05048;BANCA POPOLARE COMMERCIO E INDUSTRIA
05060;BANCA CATTOLICA S.P.A. FUS CRED ITO ARTI
05080;BANCA DI IMOLA SPA
05104;BANCA POPOLARE DEL LAZIO SCRL
05116;BANCA VALSABBINA SOC.COOPERATIVA PER AZI
05132;BANCA NUOVA S.P.A
05141;BANCA DI CREDITO POPOLARE DI SIRACUSA
05142;BANCA DI CREDITO POPOLARE DI TORRE DEL G
05156;BANCA DI PIACENZA SOC. COOP. PER AZIONI
